# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)
0	0.9920168	-2.7248461e-08	0	0.093	0	0
0	0.9920812	-2.4781912e-08	0	0.09399999	0	0
0	0.99214476	-2.3035682e-08	0	0.095	0	0
0	0.992208	-2.017623e-08	0	0.09600001	0	0
0	0.9922705	-1.792796e-08	0	0.097	0	0
0	0.99233246	-1.9856088e-08	0	0.098	0	0
0	0.9923939	-1.5512342e-08	0	0.09899999	0	0
0	0.99245477	-1.2907549e-08	0	0.10000001	0	0
0	0.99239403	-1.3737008e-08	0	0.09899999	0	0
0	0.99233264	-1.6392733e-08	0	0.098	0	0
0	0.99227065	-1.4137186e-08	0	0.097	0	0
0	0.9922081	-1.4617399e-08	0	0.09600001	0	0
0	0.9921449	-1.4268153e-08	0	0.095	0	0
0	0.9920812	-1.5585101e-08	0	0.09399999	0	0
0	0.992017	-1.6392733e-08	0	0.093	0	0
0	0.9919521	-1.7920684e-08	0	0.092	0	0
0	0.99188656	-1.679291e-08	0	0.091000006	0	0
0	0.9918206	-1.6858394e-08	0	0.09	0	0
0	0.9917539	-1.8721039e-08	0	0.088999994	0	0
0	0.9916865	-1.5446858e-08	0	0.088	0	0
0	0.99161863	-2.0641892e-08	0	0.087000005	0	0
0	0.9915501	-2.093293e-08	0	0.08600001	0	0
0	0.99148095	-2.1151209e-08	0	0.08499999	0	0
0	0.9914111	-1.933222e-08	0	0.084	0	0
0	0.99134076	-1.9230356e-08	0	0.083	0	0
0	0.9912696	-2.41198e-08	0	0.08200001	0	0
0	0.9911978	-2.4454494e-08	0	0.081	0	0
0	0.99112546	-2.9016519e-08	0	0.07999999	0	0
0	0.9910524	-2.7714123e-08	0	0.079	0	0
0	0.9909787	-3.1832315e-08	0	0.078	0	0
0	0.9909043	-3.1257514e-08	0	0.077	0	0
0	0.99082917	-3.1941454e-08	0	0.076	0	0
0	0.9907534	-3.2661774e-08	0	0.074999996	0	0
0	0.990677	-3.5608537e-08	0	0.074	0	0
0	0.9905999	-3.999594e-08	0	0.07300001	0	0
0	0.99052197	-4.377216e-08	0	0.072	0	0
0	0.99044335	-4.7388312e-08	0	0.071	0	0
0	0.99036413	-5.2299583e-08	0	0.07	0	0
0	0.9902841	-5.2627e-08	0	0.069	0	0
0	0.9902034	-5.864422e-08	0	0.06800001	0	0
0	0.99012184	-6.3475454e-08	0	0.067	0	0
0	0.9900396	-6.8910595e-08	0	0.06599999	0	0
0	0.98995674	-7.398194e-08	0	0.065	0	0
0	0.98987293	-8.0988684e-08	0	0.064	0	0
0	0.9897885	-9.454379e-08	0	0.063	0	0
0	0.9897032	-1.06978405e-07	0	0.062000003	0	0
0	0.98961717	-1.15695e-07	0	0.060999997	0	0
0	0.9895303	-1.3259705e-07	0	0.06	0	0
0	0.98944277	-1.5077967e-07	0	0.059000008	0	0
0	0.98935425	-1.7650018e-07	0	0.058	0	0
0	0.9892651	-2.0237349e-07	0	0.057000004	0	0
0	0.989175	-2.328452e-07	0	0.055999998	0	0
0	0.98908406	-2.700981e-07	0	0.055000003	0	0
