# t (s)	mx ()	my ()	mz ()	B_app (T)	m.region2x ()	m.region2y ()	m.region2z ()
0	0.37908128	-0.0014753017	0	-0.009	0.99999034	-0.0044190506	0
0	0.37908003	-0.0017139689	0	-0.01	0.99998677	-0.0051338603	0
0	0.3790784	-0.0019687384	0	-0.011	0.9999827	-0.0058969166	0
0	0.37907645	-0.0022418918	0	-0.012	0.9999775	-0.0067151254	0
0	0.3790741	-0.002533623	0	-0.013	0.99997133	-0.0075890673	0
0	0.37907124	-0.0028482846	0	-0.014	0.9999637	-0.008531562	0
0	0.37906775	-0.0031863165	0	-0.015	0.99995434	-0.009543929	0
0	0.37906358	-0.0035541707	0	-0.016	0.9999434	-0.010645763	0
0	0.3790585	-0.003950738	0	-0.017	0.99993	-0.0118336165	0
0	0.37905243	-0.0043815277	0	-0.018	0.99991405	-0.0131239	0
0	0.37904498	-0.004855719	0	-0.019	0.9998942	-0.014544329	0
0	0.37903595	-0.0053771627	0	-0.02	0.99987036	-0.016106335	0
0	0.37902498	-0.005947167	0	-0.021	0.9998413	-0.017813547	0
0	0.3790115	-0.0065824	0	-0.022	0.99980557	-0.019716324	0
0	0.37899494	-0.0072874464	0	-0.023	0.9997617	-0.021828126	0
0	0.37897432	-0.008075896	0	-0.024	0.99970734	-0.024189718	0
0	0.37894857	-0.008967956	0	-0.025	0.99963915	-0.026861725	0
0	0.3789158	-0.009986814	0	-0.026	0.9995526	-0.029913593	0
0	0.37887418	-0.011147052	0	-0.027	0.9994425	-0.033388823	0
0	0.37881973	-0.012503851	0	-0.028	0.99929845	-0.037452903	0
0	0.37874797	-0.014093318	0	-0.029	0.99910873	-0.042213853	0
0	0.3786516	-0.015982132	0	-0.03	0.99885356	-0.047871534	0
0	0.37851715	-0.018291978	0	-0.031	0.99849796	-0.054790344	0
0	0.37832582	-0.021146692	0	-0.032	0.997992	-0.06334125	0
0	0.37803933	-0.0248143	0	-0.033	0.9972339	-0.07432703	0
0	0.37758794	-0.02968107	0	-0.034	0.9960402	-0.088904984	0
0	0.3767996	-0.03665245	0	-0.035	0.9939551	-0.10978742	0
0	0.37518856	-0.047806755	0	-0.036	0.9896937	-0.14320038	0
0	0.36937043	-0.07518893	0	-0.037	0.9743053	-0.2252314	0
0	0.36802575	-0.08015228	0	-0.038	0.9707478	-0.24010204	0
0	0.36477697	-0.09096765	0	-0.039	0.96215355	-0.2725074	0
0	-0.37907076	-0.0028922558	0	-0.04	-0.9999624	-0.008663118	0
0	-0.3790704	-0.002928893	0	-0.041	-0.99996144	-0.008772911	0
0	-0.37907	-0.0029648645	0	-0.042	-0.9999605	-0.008880706	0
0	-0.3790697	-0.0030000412	0	-0.043	-0.9999598	-0.008986057	0
0	-0.37906936	-0.0030343232	0	-0.044	-0.9999589	-0.009088664	0
0	-0.379069	-0.0030676818	0	-0.045	-0.9999579	-0.009188621	0
0	-0.3790687	-0.0031002564	0	-0.046	-0.99995697	-0.009286226	0
0	-0.37906837	-0.0031320946	0	-0.047	-0.9999561	-0.009381621	0
0	-0.37906802	-0.0031633573	0	-0.048	-0.9999551	-0.009475171	0
0	-0.3790677	-0.0031937165	0	-0.049	-0.9999543	-0.009566189	0
0	-0.3790674	-0.003223382	0	-0.05	-0.9999534	-0.009655006	0
0	-0.37906706	-0.0032523896	0	-0.051	-0.9999527	-0.009741969	0
0	-0.37906674	-0.003280958	0	-0.052	-0.9999518	-0.009827436	0
0	-0.37906644	-0.0033086438	0	-0.053	-0.9999509	-0.0099104345	0
0	-0.3790661	-0.0033357742	0	-0.054	-0.99995005	-0.009991766	0
0	-0.37906584	-0.0033625364	0	-0.055	-0.9999494	-0.010071874	0
0	-0.3790655	-0.0033885045	0	-0.056	-0.9999485	-0.010149718	0
0	-0.37906525	-0.0034141047	0	-0.057	-0.99994767	-0.01022628	0
0	-0.37906492	-0.0034390886	0	-0.058	-0.999947	-0.010301173	0
0	-0.3790646	-0.0034634972	0	-0.059	-0.9999462	-0.010374279	0
0	-0.37906435	-0.0034874773	0	-0.06	-0.9999455	-0.0104461005	0
0	-0.37906408	-0.0035110542	0	-0.061	-0.99994475	-0.010516652	0
0	-0.37906376	-0.003534029	0	-0.062	-0.99994385	-0.010585517	0
0	-0.37906358	-0.0035565493	0	-0.063	-0.99994326	-0.010653018	0
0	-0.37906325	-0.0035787625	0	-0.064	-0.99994266	-0.010719539	0
0	-0.379063	-0.0036004297	0	-0.065	-0.9999419	-0.010784421	0
0	-0.37906268	-0.0036217275	0	-0.066	-0.9999413	-0.010848195	0
0	-0.37906244	-0.0036425602	0	-0.067	-0.99994045	-0.010910634	0
0	-0.3790622	-0.0036630433	0	-0.068	-0.99993986	-0.010972023	0
0	-0.37906197	-0.0036832802	0	-0.069	-0.9999391	-0.011032496	0
0	-0.37906173	-0.0037029982	0	-0.07	-0.99993855	-0.0110916495	0
0	-0.3790615	-0.0037223494	0	-0.071	-0.99993795	-0.011149644	0
0	-0.37906122	-0.003741404	0	-0.072	-0.9999372	-0.011206629	0
0	-0.379061	-0.0037600799	0	-0.073	-0.9999366	-0.011262597	0
0	-0.37906075	-0.003778388	0	-0.074	-0.99993604	-0.011317462	0
0	-0.37906054	-0.003796419	0	-0.075	-0.99993527	-0.011371554	0
0	-0.3790603	-0.0038141839	0	-0.076	-0.99993473	-0.01142467	0
0	-0.37906006	-0.0038315551	0	-0.077	-0.99993414	-0.011476784	0
0	-0.37905982	-0.0038488016	0	-0.078	-0.99993366	-0.011528285	0
0	-0.37905964	-0.003865572	0	-0.079	-0.9999331	-0.011578537	0
0	-0.37905943	-0.0038820815	0	-0.08	-0.99993235	-0.011628006	0
0	-0.3790592	-0.0038984318	0	-0.079	-0.9999318	-0.011676937	0
0	-0.37905943	-0.00388211	0	-0.078	-0.99993235	-0.01162815	0
0	-0.37905967	-0.0038655999	0	-0.077	-0.9999331	-0.01157868	0
0	-0.37905982	-0.0038488312	0	-0.076	-0.9999336	-0.011528374	0
0	-0.37906012	-0.003831615	0	-0.075	-0.9999342	-0.011476904	0
0	-0.3790603	-0.0038141606	0	-0.074	-0.99993473	-0.01142466	0
0	-0.37906048	-0.003796419	0	-0.073	-0.99993527	-0.011371554	0
0	-0.37906075	-0.003778448	0	-0.072	-0.99993604	-0.011317701	0
0	-0.379061	-0.0037602084	0	-0.071	-0.9999366	-0.011262923	0
0	-0.37906122	-0.003741341	0	-0.07	-0.9999372	-0.011206559	0
0	-0.37906143	-0.003722409	0	-0.069	-0.9999379	-0.011149763	0
0	-0.3790617	-0.003702998	0	-0.068	-0.9999385	-0.011091589	0
0	-0.37906197	-0.003683378	0	-0.067	-0.9999391	-0.011032789	0
0	-0.3790622	-0.003663073	0	-0.066	-0.99993986	-0.010972112	0
0	-0.3790625	-0.0036426382	0	-0.065	-0.9999405	-0.010910808	0
0	-0.37906268	-0.0036217866	0	-0.064	-0.9999413	-0.010848372	0
0	-0.379063	-0.0036004372	0	-0.063	-0.9999419	-0.010784503	0
0	-0.37906325	-0.0035787227	0	-0.062	-0.99994266	-0.010719479	0
0	-0.37906358	-0.003556569	0	-0.061	-0.99994326	-0.010653137	0
0	-0.3790638	-0.0035340388	0	-0.06	-0.99994385	-0.010585606	0
0	-0.37906408	-0.0035111404	0	-0.059	-0.99994475	-0.010516851	0
0	-0.37906435	-0.003487577	0	-0.058	-0.9999456	-0.010446399	0
0	-0.3790646	-0.0034636853	0	-0.057	-0.9999462	-0.010374784	0
0	-0.37906492	-0.0034391189	0	-0.056	-0.999947	-0.010301263	0
0	-0.37906525	-0.0034142036	0	-0.055	-0.99994767	-0.0102265775	0
0	-0.3790655	-0.0033886826	0	-0.054	-0.9999485	-0.010150134	0
0	-0.37906584	-0.0033625362	0	-0.053	-0.9999494	-0.010071813	0
0	-0.3790661	-0.003335992	0	-0.052	-0.99995	-0.0099923005	0
0	-0.37906644	-0.0033088224	0	-0.051	-0.9999509	-0.00991091	0
0	-0.37906674	-0.0032809342	0	-0.05	-0.9999518	-0.009827425	0
0	-0.37906706	-0.0032524653	0	-0.049	-0.9999527	-0.009742197	0
0	-0.3790674	-0.003223494	0	-0.048	-0.9999533	-0.009655342	0
0	-0.3790677	-0.0031937556	0	-0.047	-0.9999542	-0.009566306	0
0	-0.37906802	-0.0031633961	0	-0.046	-0.9999552	-0.009475347	0
0	-0.37906834	-0.0031323337	0	-0.045	-0.9999561	-0.009382219	0
0	-0.3790687	-0.0031003656	0	-0.044	-0.999957	-0.009286554	0
0	-0.37906906	-0.003067712	0	-0.043	-0.9999579	-0.009188771	0
0	-0.37906936	-0.0030342937	0	-0.042	-0.99995863	-0.009088635	0
0	-0.3790697	-0.0030000599	0	-0.041	-0.9999596	-0.008986113	0
0	-0.37907007	-0.0029650033	0	-0.04	-0.99996054	-0.008881062	0
0	-0.37907043	-0.0029290018	0	-0.039	-0.99996173	-0.008773237	0
0	-0.3790708	-0.0028921936	0	-0.038	-0.9999627	-0.008662991	0
0	-0.3790712	-0.0028542674	0	-0.037	-0.99996364	-0.008549451	0
0	-0.37907156	-0.0028154834	0	-0.036	-0.9999646	-0.008433278	0
0	-0.37907192	-0.002775627	0	-0.035	-0.99996555	-0.008313887	0
0	-0.3790723	-0.0027347403	0	-0.034	-0.99996656	-0.008191346	0
0	-0.37907267	-0.0026927283	0	-0.033	-0.9999675	-0.008065549	0
0	-0.3790731	-0.002649585	0	-0.032	-0.9999686	-0.007936238	0
0	-0.37907347	-0.0026050608	0	-0.031	-0.99996954	-0.0078030224	0
0	-0.37907383	-0.0025593215	0	-0.03	-0.99997056	-0.0076660435	0
0	-0.3790743	-0.0025125642	0	-0.029	-0.9999718	-0.0075258906	0
0	-0.3790747	-0.0024642048	0	-0.028	-0.99997276	-0.007381051	0
0	-0.37907508	-0.0024144647	0	-0.027	-0.99997383	-0.0072320695	0
0	-0.3790755	-0.002363194	0	-0.026	-0.9999751	-0.007078496	0
0	-0.37907597	-0.0023103643	0	-0.025	-0.9999761	-0.006920245	0
0	-0.37907633	-0.002255956	0	-0.024	-0.9999772	-0.0067572584	0
0	-0.3790768	-0.0021998384	0	-0.023	-0.9999784	-0.0065890844	0
